 ===============================================================
         Steady state solution for a 2D rectangular plate       
             with borders at constant temperature               
                     Absolute temperatures                      
 ===============================================================
                 Author: Dickson Alves de Souza                 
    Based on lectures by professor Roberto Parreiras Tavares    
       and book Numerical Heat Transfer and Fluid Flow          
       by Suhas V. Patankar (1980)                              
                                                                
               Federal University of Minas Gerais               
                      September 21st, 2017                      
 ===============================================================
                       Input parameters:                        
 
 Lenght in X direction:       5.0000
 Lenght in Y direction:       5.0000
 Nodes in X direction:           200
 Nodes in Y direction:           200
 Temperature T1 (left, right and bottom borders):    1200.0000
 Temperature T2 (top border):                         700.0000
 
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
     No relaxation applied to solution.
 Tolerance:   0.1000E-03
 
 Iterations:                 33604
 ========================================================================
                    Calculation Results                                  
 ========================================================================
            I           J           X           Y           T   Exact Sol
            0         122      0.0000      3.0653   1200.0000   1200.0000
            0         123      0.0000      3.0905   1200.0000   1200.0000
            0         124      0.0000      3.1156   1200.0000   1200.0000
            0         125      0.0000      3.1407   1200.0000   1200.0000
            0         126      0.0000      3.1658   1200.0000   1200.0000
            0         127      0.0000      3.1910   1200.0000   1200.0000
            0         128      0.0000      3.2161   1200.0000   1200.0000
            0         129      0.0000      3.2412   1200.0000   1200.0000
            0         130      0.0000      3.2663   1200.0000   1200.0000
            0         131      0.0000      3.2915   1200.0000   1200.0000
            0         132      0.0000      3.3166   1200.0000   1200.0000
            0         133      0.0000      3.3417   1200.0000   1200.0000
            0         134      0.0000      3.3668   1200.0000   1200.0000
            0         135      0.0000      3.3920   1200.0000   1200.0000
            0         136      0.0000      3.4171   1200.0000   1200.0000
            0         137      0.0000      3.4422   1200.0000   1200.0000
            0         138      0.0000      3.4673   1200.0000   1200.0000
            0         139      0.0000      3.4925   1200.0000   1200.0000
            0         140      0.0000      3.5176   1200.0000   1200.0000
            0         141      0.0000      3.5427   1200.0000   1200.0000
            0         142      0.0000      3.5678   1200.0000   1200.0000
            0         143      0.0000      3.5930   1200.0000   1200.0000
            0         144      0.0000      3.6181   1200.0000   1200.0000
            0         145      0.0000      3.6432   1200.0000   1200.0000
            0         146      0.0000      3.6683   1200.0000   1200.0000
            0         147      0.0000      3.6935   1200.0000   1200.0000
            0         148      0.0000      3.7186   1200.0000   1200.0000
            0         149      0.0000      3.7437   1200.0000   1200.0000
            0         150      0.0000      3.7688   1200.0000   1200.0000
            0         151      0.0000      3.7940   1200.0000   1200.0000
            0         152      0.0000      3.8191   1200.0000   1200.0000
            0         153      0.0000      3.8442   1200.0000   1200.0000
            0         154      0.0000      3.8693   1200.0000   1200.0000
            0         155      0.0000      3.8945   1200.0000   1200.0000
            0         156      0.0000      3.9196   1200.0000   1200.0000
            0         157      0.0000      3.9447   1200.0000   1200.0000
            0         158      0.0000      3.9698   1200.0000   1200.0000
            0         159      0.0000      3.9950   1200.0000   1200.0000
            0         160      0.0000      4.0201   1200.0000   1200.0000
            0         161      0.0000      4.0452   1200.0000   1200.0000
            0         162      0.0000      4.0704   1200.0000   1200.0000
            0         163      0.0000      4.0955   1200.0000   1200.0000
            0         164      0.0000      4.1206   1200.0000   1200.0000
            0         165      0.0000      4.1457   1200.0000   1200.0000
            0         166      0.0000      4.1709   1200.0000   1200.0000
            0         167      0.0000      4.1960   1200.0000   1200.0000
            0         168      0.0000      4.2211   1200.0000   1200.0000
            0         169      0.0000      4.2462   1200.0000   1200.0000
            0         170      0.0000      4.2714   1200.0000   1200.0000
            0         171      0.0000      4.2965   1200.0000   1200.0000
            0         172      0.0000      4.3216   1200.0000   1200.0000
            0         173      0.0000      4.3467   1200.0000   1200.0000
            0         174      0.0000      4.3719   1200.0000   1200.0000
            0         175      0.0000      4.3970   1200.0000   1200.0000
            0         176      0.0000      4.4221   1200.0000   1200.0000
            0         177      0.0000      4.4472   1200.0000   1200.0000
            0         178      0.0000      4.4724   1200.0000   1200.0000
            0         179      0.0000      4.4975   1200.0000   1200.0000
            0         180      0.0000      4.5226   1200.0000   1200.0000
            0         181      0.0000      4.5477   1200.0000   1200.0000
            0         182      0.0000      4.5729   1200.0000   1200.0000
            0         183      0.0000      4.5980   1200.0000   1200.0000
            0         184      0.0000      4.6231   1200.0000   1200.0000
            0         185      0.0000      4.6482   1200.0000   1200.0000
            0         186      0.0000      4.6734   1200.0000   1200.0000
            0         187      0.0000      4.6985   1200.0000   1200.0000
            0         188      0.0000      4.7236   1200.0000   1200.0000
            0         189      0.0000      4.7487   1200.0000   1200.0000
            0         190      0.0000      4.7739   1200.0000   1200.0000
            0         191      0.0000      4.7990   1200.0000   1200.0000
            0         192      0.0000      4.8241   1200.0000   1200.0000
            0         193      0.0000      4.8492   1200.0000   1200.0000
            0         194      0.0000      4.8744   1200.0000   1200.0000
            0         195      0.0000      4.8995   1200.0000   1200.0000
            0         196      0.0000      4.9246   1200.0000   1200.0000
            0         197      0.0000      4.9497   1200.0000   1200.0000
            0         198      0.0000      4.9749   1200.0000   1200.0000
            0         199      0.0000      5.0000    700.0000    700.0000
            1           0      0.0251      0.0000   1200.0000   1200.0000
            1           1      0.0251      0.0251   1199.9861   1199.9862
            1           2      0.0251      0.0503   1199.9722   1199.9724
            1           3      0.0251      0.0754   1199.9582   1199.9585
            1           4      0.0251      0.1005   1199.9443   1199.9447
            1           5      0.0251      0.1256   1199.9303   1199.9309
            1           6      0.0251      0.1508   1199.9164   1199.9170
            1           7      0.0251      0.1759   1199.9024   1199.9031
            1           8      0.0251      0.2010   1199.8884   1199.8892
            1           9      0.0251      0.2261   1199.8743   1199.8752
            1          10      0.0251      0.2513   1199.8602   1199.8612
            1          11      0.0251      0.2764   1199.8461   1199.8472
            1          12      0.0251      0.3015   1199.8320   1199.8332
            1          13      0.0251      0.3266   1199.8178   1199.8191
            1          14      0.0251      0.3518   1199.8035   1199.8049
            1          15      0.0251      0.3769   1199.7892   1199.7907
            1          16      0.0251      0.4020   1199.7749   1199.7765
            1          17      0.0251      0.4271   1199.7605   1199.7622
            1          18      0.0251      0.4523   1199.7460   1199.7478
            1          19      0.0251      0.4774   1199.7315   1199.7334
            1          20      0.0251      0.5025   1199.7169   1199.7189
            1          21      0.0251      0.5276   1199.7022   1199.7043
            1          22      0.0251      0.5528   1199.6874   1199.6896
            1          23      0.0251      0.5779   1199.6726   1199.6749
            1          24      0.0251      0.6030   1199.6577   1199.6601
            1          25      0.0251      0.6281   1199.6427   1199.6452
            1          26      0.0251      0.6533   1199.6276   1199.6301
            1          27      0.0251      0.6784   1199.6124   1199.6150
            1          28      0.0251      0.7035   1199.5971   1199.5998
            1          29      0.0251      0.7286   1199.5817   1199.5845
            1          30      0.0251      0.7538   1199.5661   1199.5691
            1          31      0.0251      0.7789   1199.5505   1199.5536
            1          32      0.0251      0.8040   1199.5348   1199.5379
            1          33      0.0251      0.8291   1199.5189   1199.5221
            1          34      0.0251      0.8543   1199.5029   1199.5062
            1          35      0.0251      0.8794   1199.4868   1199.4902
            1          36      0.0251      0.9045   1199.4705   1199.4740
            1          37      0.0251      0.9296   1199.4542   1199.4577
            1          38      0.0251      0.9548   1199.4376   1199.4413
            1          39      0.0251      0.9799   1199.4209   1199.4247
            1          40      0.0251      1.0050   1199.4041   1199.4079
            1          41      0.0251      1.0302   1199.3871   1199.3910
            1          42      0.0251      1.0553   1199.3699   1199.3739
            1          43      0.0251      1.0804   1199.3526   1199.3567
            1          44      0.0251      1.1055   1199.3351   1199.3393
            1          45      0.0251      1.1307   1199.3174   1199.3217
            1          46      0.0251      1.1558   1199.2996   1199.3039
            1          47      0.0251      1.1809   1199.2816   1199.2859
            1          48      0.0251      1.2060   1199.2633   1199.2678
            1          49      0.0251      1.2312   1199.2449   1199.2494
            1          50      0.0251      1.2563   1199.2263   1199.2309
            1          51      0.0251      1.2814   1199.2074   1199.2121
            1          52      0.0251      1.3065   1199.1884   1199.1931
            1          53      0.0251      1.3317   1199.1691   1199.1739
            1          54      0.0251      1.3568   1199.1496   1199.1545
            1          55      0.0251      1.3819   1199.1299   1199.1348
            1          56      0.0251      1.4070   1199.1099   1199.1149
            1          57      0.0251      1.4322   1199.0897   1199.0948
            1          58      0.0251      1.4573   1199.0692   1199.0744
            1          59      0.0251      1.4824   1199.0485   1199.0537
            1          60      0.0251      1.5075   1199.0275   1199.0328
            1          61      0.0251      1.5327   1199.0063   1199.0116
            1          62      0.0251      1.5578   1198.9848   1198.9901
            1          63      0.0251      1.5829   1198.9630   1198.9684
            1          64      0.0251      1.6080   1198.9409   1198.9464
            1          65      0.0251      1.6332   1198.9185   1198.9240
            1          66      0.0251      1.6583   1198.8958   1198.9014
            1          67      0.0251      1.6834   1198.8728   1198.8784
            1          68      0.0251      1.7085   1198.8495   1198.8552
            1          69      0.0251      1.7337   1198.8258   1198.8316
            1          70      0.0251      1.7588   1198.8018   1198.8076
            1          71      0.0251      1.7839   1198.7775   1198.7834
            1          72      0.0251      1.8090   1198.7528   1198.7587
            1          73      0.0251      1.8342   1198.7278   1198.7337
            1          74      0.0251      1.8593   1198.7024   1198.7084
