 ===============================================================
         Steady state solution for a 2D rectangular plate       
             with borders at constant temperature               
                 Adimensional temperatures                      
 ===============================================================
                 Author: Dickson Alves de Souza                 
    Based on lectures by professor Roberto Parreiras Tavares    
       and book Numerical Heat Transfer and Fluid Flow          
       by Suhas V. Patankar (1980)                              
                                                                
               Federal University of Minas Gerais               
                      September 21st, 2017                      
 ===============================================================
                       Input parameters:                        
 
 Lenght in X direction:     5.000000
 Lenght in Y direction:     5.000000
 Nodes in X direction:           200
 Nodes in Y direction:           200
 Temperature T1 (left, right and bottom borders):  1200.000000
 Temperature T2 (top border):                       700.000000
 
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
     No relaxation applied to solution.
 Tolerance: 0.100000E-03
 
 Iterations:                 33604
 ========================================================================
                    Calculation Results                                  
                    Adimensional Values                                  
 ========================================================================
            I           J         X/L         Y/W           T   Exact Sol
            1          39    0.005025    0.195980    0.001158    0.001151
            1          40    0.005025    0.201005    0.001192    0.001184
            1          41    0.005025    0.206030    0.001226    0.001218
            1          42    0.005025    0.211055    0.001260    0.001252
            1          43    0.005025    0.216080    0.001295    0.001287
            1          44    0.005025    0.221106    0.001330    0.001321
            1          45    0.005025    0.226131    0.001365    0.001357
            1          46    0.005025    0.231156    0.001401    0.001392
            1          47    0.005025    0.236181    0.001437    0.001428
            1          48    0.005025    0.241206    0.001473    0.001464
            1          49    0.005025    0.246231    0.001510    0.001501
            1          50    0.005025    0.251256    0.001547    0.001538
            1          51    0.005025    0.256281    0.001585    0.001576
            1          52    0.005025    0.261307    0.001623    0.001614
            1          53    0.005025    0.266332    0.001662    0.001652
            1          54    0.005025    0.271357    0.001701    0.001691
            1          55    0.005025    0.276382    0.001740    0.001730
            1          56    0.005025    0.281407    0.001780    0.001770
            1          57    0.005025    0.286432    0.001821    0.001810
            1          58    0.005025    0.291457    0.001862    0.001851
            1          59    0.005025    0.296482    0.001903    0.001893
            1          60    0.005025    0.301508    0.001945    0.001934
            1          61    0.005025    0.306533    0.001987    0.001977
            1          62    0.005025    0.311558    0.002030    0.002020
            1          63    0.005025    0.316583    0.002074    0.002063
            1          64    0.005025    0.321608    0.002118    0.002107
            1          65    0.005025    0.326633    0.002163    0.002152
            1          66    0.005025    0.331658    0.002208    0.002197
            1          67    0.005025    0.336683    0.002254    0.002243
            1          68    0.005025    0.341709    0.002301    0.002290
            1          69    0.005025    0.346734    0.002348    0.002337
            1          70    0.005025    0.351759    0.002396    0.002385
            1          71    0.005025    0.356784    0.002445    0.002433
            1          72    0.005025    0.361809    0.002494    0.002483
            1          73    0.005025    0.366834    0.002544    0.002533
            1          74    0.005025    0.371859    0.002595    0.002583
            1          75    0.005025    0.376884    0.002647    0.002635
            1          76    0.005025    0.381910    0.002699    0.002687
            1          77    0.005025    0.386935    0.002752    0.002740
            1          78    0.005025    0.391960    0.002806    0.002794
            1          79    0.005025    0.396985    0.002861    0.002849
            1          80    0.005025    0.402010    0.002917    0.002904
            1          81    0.005025    0.407035    0.002973    0.002961
            1          82    0.005025    0.412060    0.003030    0.003018
            1          83    0.005025    0.417085    0.003089    0.003076
            1          84    0.005025    0.422111    0.003148    0.003135
            1          85    0.005025    0.427136    0.003208    0.003196
            1          86    0.005025    0.432161    0.003269    0.003257
            1          87    0.005025    0.437186    0.003332    0.003319
            1          88    0.005025    0.442211    0.003395    0.003382
            1          89    0.005025    0.447236    0.003459    0.003446
            1          90    0.005025    0.452261    0.003525    0.003512
            1          91    0.005025    0.457286    0.003591    0.003578
            1          92    0.005025    0.462312    0.003659    0.003646
            1          93    0.005025    0.467337    0.003728    0.003715
            1          94    0.005025    0.472362    0.003798    0.003785
            1          95    0.005025    0.477387    0.003869    0.003856
            1          96    0.005025    0.482412    0.003942    0.003929
            1          97    0.005025    0.487437    0.004016    0.004003
            1          98    0.005025    0.492462    0.004091    0.004078
            1          99    0.005025    0.497487    0.004168    0.004155
            1         100    0.005025    0.502513    0.004246    0.004233
            1         101    0.005025    0.507538    0.004326    0.004313
            1         102    0.005025    0.512563    0.004407    0.004394
            1         103    0.005025    0.517588    0.004490    0.004477
            1         104    0.005025    0.522613    0.004574    0.004561
            1         105    0.005025    0.527638    0.004660    0.004647
            1         106    0.005025    0.532663    0.004748    0.004735
            1         107    0.005025    0.537688    0.004837    0.004824
            1         108    0.005025    0.542714    0.004928    0.004915
            1         109    0.005025    0.547739    0.005021    0.005008
            1         110    0.005025    0.552764    0.005116    0.005103
            1         111    0.005025    0.557789    0.005213    0.005200
            1         112    0.005025    0.562814    0.005312    0.005299
            1         113    0.005025    0.567839    0.005413    0.005401
            1         114    0.005025    0.572864    0.005517    0.005504
            1         115    0.005025    0.577889    0.005622    0.005610
            1         116    0.005025    0.582915    0.005730    0.005718
            1         117    0.005025    0.587940    0.005841    0.005828
            1         118    0.005025    0.592965    0.005953    0.005941
            1         119    0.005025    0.597990    0.006069    0.006056
            1         120    0.005025    0.603015    0.006187    0.006174
            1         121    0.005025    0.608040    0.006308    0.006295
            1         122    0.005025    0.613065    0.006431    0.006419
            1         123    0.005025    0.618090    0.006558    0.006546
            1         124    0.005025    0.623116    0.006688    0.006676
            1         125    0.005025    0.628141    0.006821    0.006809
            1         126    0.005025    0.633166    0.006957    0.006945
            1         127    0.005025    0.638191    0.007097    0.007085
            1         128    0.005025    0.643216    0.007240    0.007228
            1         129    0.005025    0.648241    0.007387    0.007375
            1         130    0.005025    0.653266    0.007538    0.007526
            1         131    0.005025    0.658291    0.007693    0.007681
            1         132    0.005025    0.663317    0.007853    0.007841
            1         133    0.005025    0.668342    0.008016    0.008005
            1         134    0.005025    0.673367    0.008185    0.008173
            1         135    0.005025    0.678392    0.008358    0.008346
            1         136    0.005025    0.683417    0.008536    0.008525
            1         137    0.005025    0.688442    0.008720    0.008708
            1         138    0.005025    0.693467    0.008909    0.008897
            1         139    0.005025    0.698492    0.009103    0.009092
            1         140    0.005025    0.703518    0.009304    0.009293
            1         141    0.005025    0.708543    0.009511    0.009500
            1         142    0.005025    0.713568    0.009725    0.009714
            1         143    0.005025    0.718593    0.009946    0.009935
            1         144    0.005025    0.723618    0.010175    0.010164
            1         145    0.005025    0.728643    0.010411    0.010400
            1         146    0.005025    0.733668    0.010656    0.010645
            1         147    0.005025    0.738693    0.010909    0.010898
            1         148    0.005025    0.743719    0.011171    0.011161
            1         149    0.005025    0.748744    0.011444    0.011433
            1         150    0.005025    0.753769    0.011726    0.011716
            1         151    0.005025    0.758794    0.012020    0.012009
            1         152    0.005025    0.763819    0.012325    0.012315
            1         153    0.005025    0.768844    0.012643    0.012632
            1         154    0.005025    0.773869    0.012974    0.012963
            1         155    0.005025    0.778894    0.013319    0.013308
            1         156    0.005025    0.783920    0.013679    0.013669
            1         157    0.005025    0.788945    0.014056    0.014045
            1         158    0.005025    0.793970    0.014449    0.014439
            1         159    0.005025    0.798995    0.014862    0.014851
            1         160    0.005025    0.804020    0.015294    0.015283
            1         161    0.005025    0.809045    0.015748    0.015737
            1         162    0.005025    0.814070    0.016226    0.016214
            1         163    0.005025    0.819095    0.016728    0.016717
            1         164    0.005025    0.824121    0.017258    0.017247
            1         165    0.005025    0.829146    0.017818    0.017807
            1         166    0.005025    0.834171    0.018411    0.018399
            1         167    0.005025    0.839196    0.019039    0.019027
            1         168    0.005025    0.844221    0.019706    0.019693
            1         169    0.005025    0.849246    0.020416    0.020403
            1         170    0.005025    0.854271    0.021174    0.021160
            1         171    0.005025    0.859296    0.021984    0.021969
            1         172    0.005025    0.864322    0.022852    0.022836
            1         173    0.005025    0.869347    0.023784    0.023767
            1         174    0.005025    0.874372    0.024790    0.024771
            1         175    0.005025    0.879397    0.025877    0.025857
            1         176    0.005025    0.884422    0.027057    0.027035
            1         177    0.005025    0.889447    0.028341    0.028317
            1         178    0.005025    0.894472    0.029746    0.029719
            1         179    0.005025    0.899497    0.031288    0.031258
            1         180    0.005025    0.904523    0.032990    0.032955
            1         181    0.005025    0.909548    0.034878    0.034838
            1         182    0.005025    0.914573    0.036985    0.036939
